Case_ID,Crime_Type,Location,State,Year,Victim_Age,Severity_Level,Description
CC-0001,Identity Theft,Mumbai,Maharashtra,2024,35,Medium,Unauthorized use of personal identity information reported.
CC-0002,Ransomware,Delhi,Delhi,2024,65,Critical,Systems encrypted and ransom demanded for decryption key.
CC-0003,Identity Theft,Lucknow,Uttar Pradesh,2022,20,Low,Unauthorized use of personal identity information reported.
CC-0004,Online Fraud,Chennai,Tamil Nadu,2023,56,Low,Financial loss caused through fake online transaction.
CC-0005,Online Fraud,Jaipur,Rajasthan,2022,32,Medium,Financial loss caused through fake online transaction.
CC-0006,Data Breach,Mumbai,Maharashtra,2025,69,Low,Sensitive customer information exposed by unauthorized access.
CC-0007,Card Skimming,Pune,Maharashtra,2021,27,Medium,Payment card details copied using compromised device.
CC-0008,Cyber Bullying,Delhi,Delhi,2019,42,Low,Repeated harassment reported over social media platform.
CC-0009,Cyber Bullying,Lucknow,Uttar Pradesh,2021,69,Low,Repeated harassment reported over social media platform.
CC-0010,Malware Attack,Jaipur,Rajasthan,2019,42,Low,Malicious software infected endpoint causing data disruption.
CC-0011,Data Breach,Lucknow,Uttar Pradesh,2025,41,High,Sensitive customer information exposed by unauthorized access.
CC-0012,Identity Theft,Mumbai,Maharashtra,2024,32,High,Unauthorized use of personal identity information reported.
CC-0013,Identity Theft,Chennai,Tamil Nadu,2025,24,Medium,Unauthorized use of personal identity information reported.
CC-0014,Malware Attack,Pune,Maharashtra,2020,41,Medium,Malicious software infected endpoint causing data disruption.
CC-0015,Data Breach,Delhi,Delhi,2023,58,Low,Sensitive customer information exposed by unauthorized access.
CC-0016,Online Fraud,Bengaluru,Karnataka,2022,42,Medium,Financial loss caused through fake online transaction.
CC-0017,Online Fraud,Pune,Maharashtra,2025,67,High,Financial loss caused through fake online transaction.
CC-0018,Online Fraud,Mumbai,Maharashtra,2025,38,Medium,Financial loss caused through fake online transaction.
